,name,artists,peak_position,weeks_on_chart,week,date,genre,features
928,Better Now,Post Malone,3.0,52.0,5/4/19,27-Apr-18,"R&;B,Pop",
971,Bad Liar,Imagine Dragons,56.0,9.0,5/4/19,6-Nov-18,"Rock,Adult Alternative,Ballad,Alternative Rock,Alternative,Pop-Rock,Indie Rock,Alternative Pop,Indie Pop,Pop",
976,Slide,French Montana,,,5/4/19,18-Apr-19,"Trap,Hip-Hop,East Coast,West Coast,Rap","Blueface, Lil Tjay"
977,Saturday Nights,"Khalid, Kane Brown",57.0,12.0,5/4/19,11-Jan-19,"Remix,Country,R&;B,Pop",
978,Pure Cocaine,Lil Baby,46.0,16.0,5/4/19,30-Nov-18,"Motown,Trap,Rap",
980,This Is It,Scotty McCreery,42.0,20.0,5/4/19,7-May-18,Country,
981,My Strange Addiction,Billie Eilish,43.0,4.0,5/4/19,29-Mar-19,"Alternative Pop,Alternative,Pop",
983,Let Me Down Slowly,Alec Benjamin,79.0,9.0,5/4/19,7-Jan-19,"Pop,Remix",Alessia Cara
984,Xanny,Billie Eilish,35.0,4.0,5/4/19,29-Mar-19,"Indie,Alternative,Alternative Pop,Art Rock,Glam Rock,Indie Pop,Pop",
985,One That Got Away,Michael Ray,67.0,9.0,5/4/19,1-Jun-18,Country,
1030,MIA,Bad Bunny,5.0,27.0,4/27/19,11-Oct-18,"Latin Urban,Reggaeton,Pop,Puerto Rico,Canada,Trap,R&;B,Rap,Latin Music,Latin Trap,En Espa\xc3\xb1ol",Drake
1034,Tequila,Dan + Shay,21.0,50.0,4/27/19,10-Jan-18,Country,
1035,Money,Cardi B,13.0,26.0,4/27/19,23-Oct-18,"Hip-Hop,Trap,Rap",
1051,Blue On Black,Five Finger Death Punch,,,4/27/19,12-Apr-19,Rock,"Kenny Wayne Shepherd, Brantley Gilbert &"
1067,Double Up,Nipsey Hussle,65.0,3.0,4/27/19,16-Feb-18,"West Coast,Rap","Belly, DOM KENNEDY"
1068,Undrunk,FLETCHER,61.0,6.0,4/27/19,25-Jan-19,Pop,
1077,Last Time That I Checc'd,Nipsey Hussle,76.0,3.0,4/27/19,16-Feb-18,"West Coast,Rap",YG
1082,There Was This Girl,Riley Green,70.0,8.0,4/27/19,29-Jun-18,Country,
1139,My Bad,Khalid,55.0,3.0,4/20/19,7-Mar-19,R&;B,
1152,Monopoly,"Ariana Grande, Victoria Monet",69.0,2.0,4/20/19,1-Apr-19,"R&;B,Pop",
1167,Don't Pretend,"Khalid, SAFE",,,4/20/19,5-Apr-19,"R&;B,Pop",
1170,Bad Luck,Khalid,,,4/20/19,5-Apr-19,Pop,
1175,All The Good Girls Go To Hell,Billie Eilish,46.0,2.0,4/20/19,29-Mar-19,"Alternative Pop,Alternative,Trip-Hop,Soul Pop,Electro-Pop,Electronic,Pop",
1176,Right Back,Khalid,,,4/20/19,5-Apr-19,Pop,
1178,Inmortal,Aventura,,,4/20/19,5-Apr-19,"Dominican Republic,Latin Music,En Espa\xc3\xb1ol,Bachata,Pop",
1180,Dedication,Nipsey Hussle,93.0,2.0,4/20/19,13-Feb-18,"West Coast,Rap",Kendrick Lamar
1183,Victory Lap,Nipsey Hussle,,,4/20/19,16-Feb-18,"West Coast,Rap",Stacy Barthe
1232,ZEZE,Kodak Black,2.0,25.0,4/13/19,12-Oct-18,"East Coast,Motown,Memes,Trap,Rap","Travis Scott, Offset"
1236,I Love You,Billie Eilish,,,4/13/19,29-Mar-19,"Indie Pop,Alternative,Alternative Pop,R&;B,Folk,Indie,Ballad,Acoustic,Pop",
1245,Ilomilo,Billie Eilish,,,4/13/19,29-Mar-19,"Chillhop,Indie Pop,Alternative Pop,Dance-Pop,Pop",
1246,Listen Before I Go,Billie Eilish,,,4/13/19,29-Mar-19,"Soul Pop,Ballad,Bedroom Pop,Alternative,Alternative Pop,Pop",
1262,8,Billie Eilish,,,4/13/19,29-Mar-19,"Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",
