,name,artists,peak_position,weeks_on_chart,week,date,genre,features
41221,Born To Be Somebody,Justin Bieber,,,3/3/11,14-Feb-11,"Canada,Pop",
41225,Hit The Lights,Jay Sean,18.0,2.0,3/3/11,,"R&;B,Rap",Lil Wayne
41243,Do The John Wall,Troop 41,76.0,8.0,3/3/11,18-Jan-11,Rap,
41279,Thriller / Heads Will Roll,Glee Cast,38.0,2.0,2/24/11,8-Mar-11,"Mashup,Screen,Soundtrack,Rock,Cover,Pop",
41285,"Bills, Bills, Bills",Glee Cast,44.0,2.0,2/24/11,19-Apr-11,"Cover,Screen,Soundtrack,Pop",
41286,Silly Love Songs,Glee Cast,,,2/24/11,19-Apr-11,"Screen,Soundtrack,Cover,Pop",
41288,When I Get You Alone,Glee Cast,,,2/24/11,19-Apr-11,"TV,Soundtrack,Screen,Cover,Pop",
41297,Fat Bottomed Girls,Glee Cast,,,2/24/11,8-Mar-11,"TV,Cover,Soundtrack,Pop",
41302,Need You Now,Glee Cast,62.0,2.0,2/24/11,6-Feb-11,"Cover,Soundtrack,Screen,Country,Pop",
41312,Aston Martin Music,Rick Ross,30.0,20.0,2/24/11,5-Oct-10,"Canada,Rap","Drake, Chrisette Michele"
41322,Put You In A Song,Keith Urban,53.0,20.0,2/24/11,,"Country,Rock",
41326,She's Not There,Glee Cast,,,2/24/11,8-Mar-11,"Soundtrack,Screen,Indie Rock,Cover,Pop",
41328,Words I Never Said,Lupe Fiasco,,,2/24/11,8-Feb-11,"Pop,Conscious Hip-Hop,Rap",Skylar Grey
41333,Make A Movie,Twista,71.0,14.0,2/24/11,24-Aug-10,"R&;B,Rap",Chris Brown
41373,Rhythm of Love,Plain White T's,38.0,21.0,2/17/11,3-Oct-10,Rock,
41382,Please Don't Go,Mike Posner,16.0,20.0,2/17/11,9-Jun-10,"Electro-Pop,Pop",
41414,When You're Young,3 Doors Down,,,2/17/11,1-Feb-11,Rock,
41415,The Creep,The Lonely Island,,,2/17/11,10-May-11,"Electro,Comedy,Rap",Nicki Minaj
41416,Bullets In The Gun,Toby Keith,83.0,14.0,2/17/11,,"Country,Rock",
41422,The Ballad Of Mona Lisa,Panic! At The Disco,,,2/17/11,1-Feb-11,"Baroque Pop,Power Pop,Alternative Pop,Alternative,Pop-Rock,Punk Rock,Alternative Rock,Pop-Punk,Rock",
41428,Right Thru Me,Nicki Minaj,26.0,19.0,2/17/11,24-Sep-10,"R&;B,Rap",
41429,Memories,David Guetta,46.0,18.0,2/17/11,29-Mar-10,"Dance,Rap,Pop",Kid Cudi
41430,Fire Flame,Birdman,64.0,10.0,2/17/11,22-Nov-10,Rap,Lil Wayne
41472,Right Above It,Lil Wayne,6.0,24.0,2/10/11,27-Sep-10,Rap,Drake
41491,Dog Days Are Over,Florence + The Machine,21.0,20.0,2/10/11,3-Jul-09,"Alternative Rock,Alternative,Indie Pop,Indie Rock,Art Pop,Art Rock,Rock",
41498,Can't Be Friends,Trey Songz,43.0,20.0,2/10/11,28-Sep-10,"Soul,Neo Soul,R&;B",
41507,Smoke A Little Smoke,Eric Church,78.0,20.0,2/10/11,21-Jun-10,"Country,Rock",
41513,We No Speak Americano,"Yolanda Be Cool, Dcup",29.0,20.0,2/10/11,27-Feb-10,"Memes,Pop",
41514,Help Is On The Way,Rise Against,,,2/10/11,1-Jan-11,Rock,
41518,Mama's Song,Carrie Underwood,56.0,19.0,2/10/11,13-Sep-10,Country,
41520,Marry You,Bruno Mars,85.0,9.0,2/10/11,15-Aug-11,Pop,
41522,Roman's Revenge,Nicki Minaj,56.0,5.0,2/10/11,30-Oct-10,Rap,Eminem
41611,Freak The Freak Out,Victorious Cast,50.0,6.0,2/3/11,19-Nov-10,"TV,Screen,Hi-Nrg,Dance-Pop,Synth-Pop,Teen Pop,Electro-Pop,Pop-Rock,Electronic Rock,Soundtrack,Pop",Victoria Justice
41616,Tighten Up,The Black Keys,87.0,4.0,2/3/11,17-Apr-10,"Grunge,Blues Rock,Alternative Rock,Alternative,Rock",
41617,Give In To Me,"Garrett Hedlund, Leighton Meester",79.0,2.0,2/3/11,8-Nov-10,Pop,
41619,"For You, And Your Denial",Yellowcard,,,2/3/11,18-Jan-11,Rock,
41663,Club Can't Handle Me,Flo Rida,9.0,29.0,1/27/11,28-Jun-10,Rap,David Guetta
41701,Country Strong,Gwyneth Paltrow,81.0,2.0,1/27/11,26-Jul-10,"Country,Screen",
41706,The Breath You Take,George Strait,63.0,20.0,1/27/11,,"Country,Rock",
41712,Turn On The Radio,Reba,53.0,18.0,1/27/11,,Country,
41753,Stuck Like Glue,Sugarland,17.0,24.0,1/20/11,19-Oct-10,"Pop Country,Country,Rock",
41755,Love The Way You Lie,Eminem,1.0,29.0,1/20/11,18-Jun-10,"Ballad,Pop,Rap",Rihanna
41757,My Kinda Party,Jason Aldean,39.0,20.0,1/20/11,16-Aug-10,"Country,Rock",
41800,Only Prettier,Miranda Lambert,61.0,19.0,1/20/11,26-Jul-10,"Country,News",
41802,Anything Like Me,Brad Paisley,48.0,19.0,1/20/11,,"Country,Rock",
41805,Porn Star Dancing,My Darkest Days,90.0,7.0,1/20/11,21-Jun-10,"Rock,Rap",Zakk Wylde
41806,That's All She Wrote,T.I.,18.0,5.0,1/20/11,7-Dec-10,Rap,Eminem
41841,Love Like Woe,The Ready Set,27.0,21.0,1/13/11,31-Mar-10,"Pop,Synth-Pop",
41849,Deuces,Chris Brown,14.0,27.0,1/13/11,25-Jun-10,"West Coast,DMV,R&;B,Rap","Tyga, Kevin McCall"
41877,Runaway,Kanye West,12.0,13.0,1/13/11,4-Oct-10,"Producer,Rap",Pusha T
41879,A Year Without Rain,"Selena Gomez, The Scene",35.0,8.0,1/13/11,7-Sep-10,"Electro,Dance-Pop,Dance,Eurodance,Synth-Pop,Electro-Pop,Pop",
41881,Big Night,Big Time Rush,,,1/13/11,,"West Coast,Teen Pop,Boy Band,Pop",
41891,Why Wait,Rascal Flatts,48.0,20.0,1/13/11,2-Aug-10,"Country,Rock",
41896,Shake,Jesse McCartney,54.0,12.0,1/13/11,21-Sep-10,R&;B,
41897,Check It Out,"will.i.am, Nicki Minaj",24.0,15.0,1/13/11,3-Sep-10,"Producer,Rap",
41901,Opposite Of Adults,Chiddy Bang,90.0,2.0,1/13/11,29-Oct-09,Rap,
41957,As She's Walking Away,Zac Brown Band,32.0,20.0,1/6/11,23-Aug-10,Country,Alan Jackson
41962,Hit It Again,3OH!3,,,1/6/11,21-Dec-10,Pop,
41989,Pursuit Of Happiness,Kid Cudi,59.0,3.0,1/6/11,15-Sep-09,"Conscious Hip-Hop,Chill,Neo-Psychedelia,R&;B,Rap","MGMT, Ratatat"
41993,Shake Up Christmas,Train,,,1/6/11,1-Nov-10,"Christmas,Rock",
42071,Christmas Lights,Coldplay,25.0,3.0,12/30/10,1-Dec-10,"Alternative,Alternative Rock,Christmas,Ballad,Rock",
42077,All I Want Is You,Miguel,58.0,14.0,12/30/10,25-May-10,"Soul,Soul Pop,R&;B,Rap",J. Cole
42079,Loving You No More,Diddy,91.0,2.0,12/30/10,14-Dec-10,"Rap,Pop",
42081,When A Woman Loves,R. Kelly,,,12/30/10,7-Sep-10,"Soul Pop,Soul,Pop,R&;B",
42083,September,Daughtry,36.0,20.0,12/30/10,1-Jun-10,Rock,
42084,Loca,Shakira,32.0,11.0,12/30/10,10-Sep-10,"Latin Pop,Merengue,Pop",Dizzee Rascal
42086,Letting Go,Sean Kingston,36.0,20.0,12/30/10,3-Aug-10,Rap,Nicki Minaj
42087,"Baby, It's Cold Outside",Glee Cast,57.0,2.0,12/30/10,9-Nov-10,"Christmas,Cover,LGBTQ+,TV,Screen,Soundtrack,Pop",
42088,Oh Santa!,Mariah Carey,,,12/30/10,1-Oct-10,"Christmas,Holiday,R&;B,Pop",
42144,Welcome Christmas,Glee Cast,,,12/23/10,,Pop,
42174,Strip Me,Natasha Bedingfield,91.0,4.0,12/23/10,31-Aug-10,Pop,
42179,One In A Million,Ne,87.0,7.0,12/23/10,,R&;B,
42208,"Hey, Soul Sister",Glee Cast,,,12/16/10,19-Apr-11,"Easy Listening,Screen,TV,Soundtrack,Teen Pop,Pop",
42217,The Time Of My Life,Glee Cast,,,12/16/10,30-Nov-10,"Cover,Screen,Soundtrack,Pop",
42232,Valerie,Glee Cast,,,12/16/10,26-Nov-10,"TV,Soul,Cover,Soundtrack,Screen,Pop",
42255,Boots,The Killers,,,12/16/10,30-Nov-10,Rock,
42273,Don't Cry For Me Argentina,Glee Cast,,,12/16/10,30-Nov-10,"Screen,Soundtrack,Pop",
42275,Singing In The Rain / Umbrella,Glee Cast,18.0,3.0,12/16/10,16-Nov-10,Pop,Gwyneth Paltrow
42328,Take It Off,Ke$ha,8.0,20.0,12/9/10,1-Jan-10,"Electronic Pop,Electronic,Electro,Dance-Pop,Electro-Pop,Pop",
42340,Show Me How You Burlesque,Christina Aguilera,,,12/9/10,11-Nov-10,"Soundtrack,Pop",
42349,Hot Tottie,Usher,21.0,16.0,12/9/10,20-Jul-10,"R&;B,Pop",Jay
42355,Come Back Song,Darius Rucker,37.0,20.0,12/9/10,,"Country,Rock",
42363,Crazy Beautiful Life,Ke$ha,,,12/9/10,19-Nov-10,Pop,
42405,King Of Anything,Sara Bareilles,32.0,22.0,12/2/10,10-May-10,"Pop-Rock,Piano,Indie Pop,Pop,Rock",
42438,Liv Tonight,Nelly,,,12/2/10,,Pop,Keri Hilson
42449,Roll With It,Easton Corbin,55.0,19.0,12/2/10,2-Mar-10,Country,
42453,Sick,New Hollow,86.0,3.0,12/2/10,,Pop,
42454,This Ain't No Love Song,Trace Adkins,88.0,6.0,12/2/10,17-May-10,Country,
42488,Start Me Up / Livin' On A Prayer,Glee Cast,,,11/25/10,9-Nov-10,Pop,
42495,Stop! In The Name Of Love / Free Your Mind,Glee Cast,,,11/25/10,9-Nov-10,Pop,
42498,One Love,Glee Cast,,,11/25/10,26-Nov-10,"Screen,TV,Reggae,Soundtrack,Cover,Pop",
42504,Cooler Than Me,Mike Posner,6.0,29.0,11/25/10,15-Dec-09,"Electro-Pop,Pop",
42506,California Gurls,Katy Perry,1.0,27.0,11/25/10,7-May-10,"Dance-Pop,Funk-Pop,Disco,Pop",Snoop Dogg
42510,Marijuana,Kid Cudi,,,11/25/10,9-Nov-10,"R&;B,Rap",
42533,Cannibal,Ke$ha,,,11/25/10,19-Nov-10,"Electro,Pop",
42546,Scott Mescudi Vs. The World,Kid Cudi,,,11/25/10,9-Nov-10,"R&;B,Rap",Cee
42550,Holding You Down,Jazmine Sullivan,60.0,12.0,11/25/10,10-Jul-10,"R&;B,Rap",
42598,Airplanes,B.o.B,2.0,30.0,11/18/10,13-Apr-10,"Gaming,Soundtrack,Pop,Rap",Hayley Williams
42602,Farmer's Daughter,Rodney Atkins,47.0,21.0,11/18/10,29-Mar-10,Country,
42619,Get Back Up,T.I.,,,11/18/10,29-Oct-10,Rap,Chris Brown
42627,Toot It And Boot It,YG,67.0,11.0,11/18/10,8-Jun-10,Rap,
42630,If I Had You,Adam Lambert,30.0,20.0,11/18/10,11-May-10,"Electronic,Electronic Pop,Dance,Pop",
42634,Double Vision,3OH!3,87.0,4.0,11/18/10,15-Jun-10,"Dance-Pop,Pop",
42635,2012,Jay Sean,31.0,14.0,11/18/10,3-Aug-10,"R&;B,Rap",Nicki Minaj
42638,Love All Over Me,Monica,58.0,17.0,11/18/10,31-May-10,"R&;B,Pop",
42672,Innocent,Taylor Swift,,,11/11/10,12-Sep-10,"Country,Pop",
42698,Dear John,Taylor Swift,,,11/11/10,25-Oct-10,"Rock,Country,Pop",
42700,Better Than Revenge,Taylor Swift,,,11/11/10,25-Oct-10,"Alternative Rock,Pop-Punk,Pop-Rock,Country",
42714,Last Kiss,Taylor Swift,,,11/11/10,25-Oct-10,"Country,Pop",
42718,Enchanted,Taylor Swift,,,11/11/10,25-Oct-10,"Pop-Rock,Country",
42720,Mr. Rager,Kid Cudi,,,11/11/10,9-Nov-10,"R&;B,Rap",
42727,Never Grow Up,Taylor Swift,,,11/11/10,25-Oct-10,"Country,Pop",
42728,Long Live,Taylor Swift,,,11/11/10,25-Oct-10,"Power Pop,Rock,Country",
42732,Time Warp,Glee Cast,,,11/11/10,19-Oct-10,"Screen,TV,Soundtrack,Cover,Musicals,Pop",
42733,Hollywood,Michael Buble,55.0,2.0,11/11/10,7-Sep-10,"Jazz,Pop",
42734,All Over Me,Josh Turner,59.0,18.0,11/11/10,9-Feb-10,"Country,Rock",
42781,Not Afraid,Eminem,1.0,25.0,11/4/10,29-Apr-10,"Soundtrack,Pop,Rap",
42787,If It's Love,Train,34.0,20.0,11/4/10,,Rock,
42805,Gonna Get This,Hannah Montana,,,11/4/10,15-Oct-10,"Disney,Soundtrack,Pop",Iyaz
42820,The End,Kings Of Leon,,,11/4/10,15-Oct-10,Rock,
42823,Way Out Here,Josh Thompson,85.0,9.0,11/4/10,,Pop,
42824,Speak Now,Taylor Swift,8.0,3.0,11/4/10,25-Oct-10,"Country,Pop",
42830,Our Kind Of Love,Lady Antebellum,51.0,20.0,11/4/10,31-May-10,"Pop,Country",
42834,All About Tonight,Blake Shelton,37.0,19.0,11/4/10,,"Country,Rock",
42835,Got Your Back,T.I.,38.0,20.0,11/4/10,1-Jun-10,Rap,Keri Hilson
42861,Lucky,Glee Cast,,,10/28/10,26-Nov-10,"Adult Contemporary,Easy Listening,TV,Screen,Soundtrack,Cover,Pop",
42875,"River Deep, Mountain High",Glee Cast,,,10/28/10,26-Nov-10,"TV,Screen,Cover,Soundtrack,Pop",
42881,Happy Days Are Here Again / Get Happy,Glee Cast,,,10/28/10,12-Oct-10,Pop,
42887,Move That Body,Nelly,,,10/28/10,12-Oct-10,"Synth-Pop,Rap",T
42901,Miss Me,Drake,15.0,20.0,10/28/10,1-Jun-10,"Alternative R&;B,R&;B,Canada,Rap",Lil Wayne
42913,Your Love,Nicki Minaj,14.0,20.0,10/28/10,1-Jun-10,"Pop,Rap",
42919,Pretty Good At Drinkin' Beer,Billy Currington,41.0,20.0,10/28/10,21-Sep-10,"Country,Rock",
42923,Little White Church,Little Big Town,59.0,20.0,10/28/10,24-Aug-10,"Country,Rock",
42924,Le Jazz Hot,Glee Cast,,,10/28/10,12-Oct-10,Pop,
42926,Gonorrhea,Lil Wayne,17.0,3.0,10/28/10,27-Sep-10,Rap,Drake
42928,POWER,Kanye West,22.0,16.0,10/28/10,28-May-10,"Producer,Pop,Rap",
42929,The Catalyst,Linkin Park,27.0,10.0,10/28/10,8-Sep-10,"Nu-Metal,Alternative Rock,Electronic Rock,Electronic,Rock",
42963,I Want To Hold Your Hand,Glee Cast,,,10/21/10,26-Nov-10,"TV,Screen,Cover,Soundtrack,Pop",
42964,One Of Us,Glee Cast,,,10/21/10,26-Nov-10,"Screen,TV,Cover,Soundtrack,Religion,Pop",
42975,Ridin' Solo,Jason Derulo,9.0,28.0,10/21/10,2-May-10,"Pop,R&;B",
42976,Only The Good Die Young,Glee Cast,,,10/21/10,,Pop,
42979,The Only Exception,Paramore,24.0,20.0,10/21/10,29-Sep-09,"Pop-Rock,Adult Contemporary,Adult Alternative,Easy Listening,Alternative,Acoustic,Ballad,Pop-Punk,Rock",
42983,Teach Me How To Dougie,Cali Swag District,28.0,20.0,10/21/10,13-Apr-10,Rap,
42991,Papa Can You Hear Me?,Glee Cast,,,10/21/10,,Pop,
43000,I Look To You,Glee Cast,,,10/21/10,5-Oct-10,Pop,
43003,Half Of My Heart,John Mayer,25.0,20.0,10/21/10,21-Jun-10,Rock,
43015,Like We Used To,A Rocket To The Moon,,,10/21/10,13-Oct-09,Rock,
43039,Toxic,Glee Cast,,,10/14/10,24-Nov-10,"Soundtrack,Screen,Cover,Pop",
43062,Billionaire,Travie McCoy,4.0,27.0,10/14/10,9-Mar-10,"Alternative,Hip-Hop,Rap Rock,Reggae,Rap,Pop",Bruno Mars
43063,What's Wrong With Them,Lil Wayne,,,10/14/10,27-Sep-10,Rap,Nicki Minaj
43072,I'm A Slave 4 U,Glee Cast,,,10/14/10,28-Sep-10,"Soundtrack,Cover,Pop",
43073,Stronger,Glee Cast,,,10/14/10,24-Nov-10,"Cover,Soundtrack,Screen,Pop",
43074,Baby One More Time,Glee Cast,,,10/14/10,28-Sep-10,"Screen,Soundtrack,Pop",
43076,Me Against The Music,Glee Cast,,,10/14/10,24-Nov-10,"TV,Soundtrack,Screen,Cover,Pop",
43085,I Am Not A Human Being,Lil Wayne,,,10/14/10,27-Sep-10,Rap,
43094,Bill Gates,Lil Wayne,,,10/14/10,27-Sep-10,Rap,
43096,Na Na Na,My Chemical Romance,,,10/14/10,28-Sep-10,"Synth Rock,Electronic Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Punk,Punk Rock,Pop-Rock,Rock",
43106,Hope She Cheats On You,Marsha Ambrosius,,,10/14/10,,Pop,
43111,Empire State Of Mind,Glee Cast,21.0,2.0,10/14/10,26-Nov-10,"R&;B,Cover,Screen,Soundtrack,Pop",
43117,Pretty Boy Swag,Soulja Boy Tell'em,34.0,16.0,10/14/10,8-Jun-10,"Trap,Dirty South,Crunk,Hip-Hop,Rap",
43139,Telephone,Glee Cast,,,10/7/10,28-Aug-12,Pop,
43152,Listen,Glee Cast,,,10/7/10,28-Aug-12,Pop,
43161,Find Your Love,Drake,5.0,21.0,10/7/10,5-May-10,"R&;B,Canada,Rap",
43164,Breakeven,The Script,12.0,43.0,10/7/10,8-Aug-08,"Pop-Rock,Ireland,Pop",
43165,What I Did For Love,Glee Cast,,,10/7/10,,Pop,
43195,Free,Zac Brown Band,34.0,19.0,10/7/10,18-Nov-08,"Country,Rock",
43196,Stutter,Maroon 5,,,10/7/10,18-Aug-10,Pop,
43202,Bittersweet,Fantasia,74.0,12.0,10/7/10,24-Aug-10,R&;B,
43206,Erase Me,Kid Cudi,22.0,5.0,10/7/10,9-Nov-10,"R&;B,Rock,Rap",Kanye West
43274,Love Like Crazy,Lee Brice,45.0,20.0,9/30/10,8-Jun-10,"Country,Rock",
43293,Hold You,Gyptian,77.0,15.0,9/30/10,12-Apr-10,"Remix,Jamaica,Dancehall,Rap",
43294,Glitter In The Air,P!nk,18.0,18.0,9/30/10,24-Oct-09,"R&;B,Pop",
43300,Trailerhood,Toby Keith,97.0,4.0,9/30/10,,"Country,Rock",
43346,Break Your Heart,Taio Cruz,1.0,29.0,9/23/10,13-Sep-09,"Pop,Rap",Ludacris
43363,Undo It,Carrie Underwood,23.0,20.0,9/23/10,3-Nov-09,Country,
43375,"Lover, Lover",Jerrod Niemann,29.0,20.0,9/23/10,13-Jul-10,"Country,Rock",
43377,Dumb Love,Sean Kingston,,,9/23/10,,Rap,
43380,I'm In,Keith Urban,60.0,16.0,9/23/10,,"Country,Rock",
43381,Gettin' Over You,"David Guetta, Chris Willis",31.0,20.0,9/23/10,12-Apr-10,"Dance,Electro-Pop,Electronic,Pop","Fergie, LMFAO"
43382,Rockstar 101,Rihanna,64.0,5.0,9/23/10,18-May-10,"Rock,Pop",Slash
43383,This Ain't Nothin',Craig Morgan,83.0,13.0,9/23/10,,Pop,
43385,Introducing Me,Nick Jonas,,,9/23/10,3-Sep-10,"Soundtrack,Pop",
43388,The Man Who Can't Be Moved,The Script,86.0,6.0,9/23/10,25-Jul-08,"Pop-Rock,Pop,Ireland,Rock",
43393,Champagne Life,Ne,75.0,8.0,9/23/10,20-Jul-10,"R&;B,Rock",
43435,Bulletproof,La Roux,8.0,27.0,9/16/10,21-Jun-09,"New Wave,Electronica,Electro-Pop,Synth-Pop,Pop",
43436,Alejandro,Lady Gaga,5.0,23.0,9/16/10,20-Apr-10,"Electronic,Electro-Pop,Synth-Pop,Eurodance,Dance-Pop,Pop",
43440,There Goes My Baby,Usher,25.0,25.0,9/16/10,26-Mar-10,"Producer,R&;B,Pop",
43443,Impossible,Shontelle,13.0,20.0,9/16/10,9-Feb-10,"R&;B,Rap",
43471,Kissin U,Miranda Cosgrove,54.0,15.0,9/16/10,22-Mar-10,"Pop-Rock,Teen Pop,Pop",
43478,Bed Intruder Song,"Antoine Dodson, The Gregory Brothers",89.0,3.0,9/16/10,31-Jul-10,"Memes,News,YouTube,Rap",Kelly Dodson
43569,143,Bobby Brackins,76.0,11.0,9/9/10,19-Jan-10,Rap,Ray J
43571,Rock That Body,The Black Eyed Peas,9.0,18.0,9/9/10,29-Jan-10,Rap,
43574,Mockingbird,Rob Thomas,95.0,4.0,9/9/10,20-Apr-10,Pop,
43620,Your Love Is My Drug,Ke$ha,4.0,28.0,9/2/10,1-Jan-10,"Electro-Pop,Dance-Pop,Pop",
43625,Un,Thinkable,21.0,20.0,9/2/10,28-May-10,"Soul Pop,Pop,Soul,R&;B,Rap",
43653,Give A Little More,Maroon 5,,,9/2/10,17-Aug-10,Pop,
43663,Black Rain,Soundgarden,,,9/2/10,17-Aug-10,"Alternative Metal,Alternative Rock,Grunge,Rock",
43665,This Afternoon,Nickelback,34.0,20.0,9/2/10,17-Nov-08,"Country,Pop-Rock,Rock",
43723,Circle The Drain,Katy Perry,,,8/26/10,10-Aug-10,"Gothic Rock,Pop",
43804,Nothin' On You,B.o.B,1.0,28.0,8/19/10,2-Feb-10,"Pop,Rap",Bruno Mars
43808,Not Like The Movies,Katy Perry,,,8/19/10,3-Aug-10,"Dance-Pop,Pop",
43818,Rain Is A Good Thing,Luke Bryan,37.0,20.0,8/19/10,,Country,
43819,I Never Told You,Colbie Caillat,48.0,20.0,8/19/10,16-Feb-10,Rock,
43823,The House That Built Me,Miranda Lambert,28.0,20.0,8/19/10,8-Mar-10,"Country,Rock",
43840,Beautiful Monster,Ne,53.0,9.0,8/19/10,8-Jun-10,"R&;B,Rock",
43841,Pray For You,Jaron And The Long Road To Love,34.0,20.0,8/19/10,,Pop,
43842,We'll Be A Dream,WE the Kings,76.0,6.0,8/19/10,,Pop,Demi Lovato
43847,Crazy Town,Jason Aldean,51.0,17.0,8/19/10,7-Apr-09,Country,
43848,Sex Room,Ludacris,69.0,11.0,8/19/10,18-May-10,"R&;B,Rap",Trey Songz
43890,All I Do Is Win,DJ Khaled,24.0,24.0,8/12/10,8-Feb-10,"West Coast,R&;B,Pop,Rap",T
43896,Haven't Met You Yet,Michael Buble,24.0,44.0,8/12/10,31-Aug-09,"Jazz,Pop",
43921,G.R.I.N.D.,Asher Roth,,,8/12/10,26-Jul-10,Rap,
43936,She Won't Be Lonely Long,Clay Walker,53.0,18.0,8/12/10,7-Dec-09,Country,
43937,The Crow & The Butterfly,Shinedown,,,8/12/10,24-Jun-08,Rock,
43939,Cuando Me Enamoro,Enrique Iglesias,89.0,5.0,8/12/10,26-Apr-10,"Polska,Em Portugu\xc3\xaas,En Espa\xc3\xb1ol,Pop",Juan Luis Guerra
44020,Can't Be Tamed,Miley Cyrus,8.0,10.0,8/5/10,14-May-10,"Pop-Punk,Pop-Rock,Electronic,Dance-Pop,Electro-Pop,Pop",
44023,Ordinary Girl,Hannah Montana,91.0,2.0,8/5/10,8-Jul-10,"Disney,Soundtrack,Pop",
44031,Eenie Meenie,"Sean Kingston, Justin Bieber",15.0,18.0,8/5/10,23-Mar-10,"Canada,Pop",
44108,If We Ever Meet Again,Timbaland,37.0,18.0,7/29/10,8-Dec-09,"R&;B,Pop-Rock,Pop",Katy Perry
44119,The Man I Want To Be,Chris Young,48.0,20.0,7/29/10,,Country,
44120,Wavin' Flag,K'Naan,82.0,7.0,7/29/10,18-Mar-09,"Football (Soccer),Rap",
44157,Rude Boy,Rihanna,1.0,22.0,7/22/10,19-Feb-10,"Dancehall,Reggae,Rap,R&;B,Pop",
44169,Whataya Want From Me,Adam Lambert,10.0,30.0,7/22/10,24-Nov-09,"Ballad,Pop-Rock,Glam Rock,Pop",
44184,My Chick Bad,Ludacris,11.0,20.0,7/22/10,23-Feb-10,Rap,Nicki Minaj
44195,Gimmie That Girl,Joe Nichols,34.0,20.0,7/22/10,19-Oct-09,Country,
44204,Shark In The Water,V V Brown,67.0,6.0,7/22/10,6-Jul-09,Rap,
44215,Neighbors Know My Name,Trey Songz,43.0,20.0,7/22/10,16-Feb-10,R&;B,
44216,Up On The Ridge,Dierks Bentley,,,7/22/10,8-Jun-10,"Country,Rock",
44252,Young Forever,Jay,10.0,25.0,7/15/10,8-Sep-09,"Pop,Rap",
44262,I Gotta Feeling,The Black Eyed Peas,1.0,56.0,7/15/10,30-Nov-10,Rap,
44297,Outta Your Mind,Lil Jon,,,7/15/10,8-Jun-10,Rap,LMFAO
44303,Wrong Baby Wrong,Martina McBride,74.0,15.0,7/15/10,24-Mar-09,Country,
44313,I Can Do Anything,3OH!3,,,7/15/10,29-Jun-10,Rap,
44356,TiK ToK,Ke$ha,1.0,38.0,7/8/10,13-Feb-10,Pop,
44371,Won't Back Down,Eminem,,,7/8/10,18-Jun-10,"Rock,Rap",P!nk
44380,Cold Wind Blows,Eminem,,,7/8/10,18-Jun-10,Rap,
44396,Talkin' 2 Myself,Eminem,,,7/8/10,18-Jun-10,"Rock,Rap",Kobe
44400,25 To Life,Eminem,,,7/8/10,18-Jun-10,Rap,
44403,I'm Back,T.I.,44.0,15.0,7/8/10,8-Mar-10,Rap,
44464,Hey,Lil Jon,62.0,2.0,7/1/10,15-Jun-10,Rap,3OH!3
44473,Fireworks,Drake,,,7/1/10,15-Jun-10,"Canada,Rap",Alicia Keys
44481,Another Way To Die,Disturbed,,,7/1/10,14-Jun-10,"Heavy Metal,Nu-Metal,Rock",
44487,Lil Freak,Usher,40.0,16.0,7/1/10,2-Mar-10,"Pop,Producer,R&;B",Nicki Minaj
44494,Finding My Way Back,Jaheim,,,7/1/10,22-Jan-10,R&;B,
44534,Faithfully,Glee Cast,,,6/24/10,8-Jun-10,"TV,Cover,Screen,Soundtrack,Pop",
44540,Over The Rainbow,Glee Cast,,,6/24/10,8-Jun-10,"TV,Screen,Soundtrack,Cover,Pop",
44554,Don't Stop Believin',Glee Cast,4.0,7.0,6/24/10,19-May-09,"A Cappella,Cover,Screen,TV,Musicals,Pop",
44560,Bionic,Christina Aguilera,,,6/24/10,4-Jun-10,"Dance,Electronic,Pop",
44566,Not Myself Tonight,Christina Aguilera,23.0,8.0,6/24/10,6-Apr-10,"Dance-Pop,Electro-Pop,Pop",
44568,To Sir With Love,Glee Cast,,,6/24/10,8-Jun-10,"TV,Screen,Soundtrack,Cover,Pop",
44584,"Beamer, Benz, Or Bentley",Lloyd Banks,49.0,16.0,6/24/10,9-Feb-10,Rap,Juelz Santana
44586,Poker Face,Glee Cast,20.0,4.0,6/24/10,18-May-10,"TV,Screen,Cover,Soundtrack,Pop",
44587,I Gotta Get To You,George Strait,70.0,13.0,6/24/10,,"Country,Rock",
44588,Keep On Lovin' You,Steel Magnolia,68.0,15.0,6/24/10,,Pop,
44589,Everything To Me,Monica,44.0,18.0,6/24/10,9-Feb-10,"Soul,R&;B",
44591,Woohoo,Christina Aguilera,79.0,2.0,6/24/10,25-May-10,"Electro,Dancehall,Pop",Nicki Minaj
44592,Yeah Ya Know,T.I.,44.0,2.0,6/24/10,1-Jun-10,Rap,
44635,Imma Be,The Black Eyed Peas,1.0,27.0,6/17/10,15-Dec-09,"Pop,Rap",
44652,You And Your Heart,Jack Johnson,20.0,4.0,6/17/10,6-Apr-10,"Piano,Singer-Songwriter,Pop-Rock,Adult Alternative,Folk Rock,Rock",
44656,Good Vibrations,Glee Cast,,,6/17/10,,"House,New Jack Swing,Funk,R&;B,TV,Screen,Soundtrack,Cover,Pop",
44659,Beautiful Day,Lee DeWyze,24.0,2.0,6/17/10,,Pop,
44665,Another One Bites The Dust,Glee Cast,,,6/17/10,1-Jun-10,"Pop-Rock,Rock,TV,Cover,Screen,Soundtrack,Pop",
